"accession","species","type","title","summary","nsamples"
"GSE274064","Homo sapiens","Expression profiling by array","Amphiregulin Upregulated in Esophageal Squamous Cell Carcinoma Cells upon Direct Contact with Cancer-Associated Fibroblasts","Cancer-associated fibroblasts (CAFs) are a pivotal component of the tumor microenvironment, significantly contributing to the progression of esophageal squamous cell carcinoma (ESCC). Direct co-culture of human bone marrow-derived mesenchymal stem cells (MSCs), one of the origins of CAFs, with ESCC cell line, led to increased amphiregulin (AREG) expression and secretion in the ESCC cells. Consequently, the expression and phosphorylation of the AREG receptor EGFR were upregulated in co-cultured ESCC cells. Moreover, AREG treatment enhanced ESCC cell survival and migration through the EGFR-Erk/p38 signaling pathway. Immunohistochemical analysis of AREG using human ESCC tissues showed a positive correlation between the intensity of AREG expression in tumor invasive front and the expression level of the CAF marker FAP. Furthermore, bioinformatics database analysis confirmed a significant upregulation of AREG expression in ESCC tissues compared to normal tissues. These findings suggest that AREG is involved in CAF-mediated ESCC progression and could be a novel therapeutic target for ESCC.",1
"GSE272930","Mus musculus","Expression profiling by high throughput sequencing","Transcriptomic and Epigenomic Signatures Distinguish High- and Low-Risk Endotypes for Liver Tumor Development [RNA-Seq blood]","The epigenome is a target for environmental exposures, and a potential determinant of inter-individual differences in response.  In genetically identical C57Bl/6 mice exposed from gestation to weaning to the endocrine disrupting chemical (EDC) tributyltin (TBT), tumor development later in life varied across multiple cohorts over time and depending on sex and diet.  In one cohort where approximately half of TBT-exposed male mice developed tumors at 10 months (Katz, 2020), transcriptomic (RNA-seq) and epigenomic (ChIP-seq) profiling was performed on blood and liver tissue from mice that developed tumors (i.e. “high-risk”) and equivalently exposed mice did not (i.e “low-risk”).  Blood transcriptomic signatures separated TBT-exposed from vehicle controls but did not discriminate between animals that developed tumors vs those that did not.  However, uninvolved liver tissue of mice with tumors exhibited transcriptomic and epigenomic signatures distinct from liver tissue of mice without tumors and had many features in common with tumors.  These high-risk transcriptomic and epigenomic features were also found in 10/26 TBT-exposed mice at 5 months, indicating that this risk signature preceded tumor development.  Thus, while early life exposure to TBT exhibits variable penetrance for tumor development, indicating TBT-exposure is not sufficient for tumorigenesis, increased risk for tumor development is linked to epigenomic and transcriptomic reprogramming of the liver induced by this EDC.",15
"GSE272929","Mus musculus","Expression profiling by high throughput sequencing","Transcriptomic and Epigenomic Signatures Distinguish High- and Low-Risk Endotypes for Liver Tumor Development [RNA-Seq liver]","The epigenome is a target for environmental exposures, and a potential determinant of inter-individual differences in response.  In genetically identical C57Bl/6 mice exposed from gestation to weaning to the endocrine disrupting chemical (EDC) tributyltin (TBT), tumor development later in life varied across multiple cohorts over time and depending on sex and diet.  In one cohort where approximately half of TBT-exposed male mice developed tumors at 10 months (Katz, 2020), transcriptomic (RNA-seq) and epigenomic (ChIP-seq) profiling was performed on blood and liver tissue from mice that developed tumors (i.e. “high-risk”) and equivalently exposed mice did not (i.e “low-risk”).  Blood transcriptomic signatures separated TBT-exposed from vehicle controls but did not discriminate between animals that developed tumors vs those that did not.  However, uninvolved liver tissue of mice with tumors exhibited transcriptomic and epigenomic signatures distinct from liver tissue of mice without tumors and had many features in common with tumors.  These high-risk transcriptomic and epigenomic features were also found in 10/26 TBT-exposed mice at 5 months, indicating that this risk signature preceded tumor development.  Thus, while early life exposure to TBT exhibits variable penetrance for tumor development, indicating TBT-exposure is not sufficient for tumorigenesis, increased risk for tumor development is linked to epigenomic and transcriptomic reprogramming of the liver induced by this EDC.",75
"GSE272927","Mus musculus","Genome binding/occupancy profiling by high throughput sequencing","Transcriptomic and Epigenomic Signatures Distinguish High- and Low-Risk Endotypes for Liver Tumor Development [ChIP-Seq]","The epigenome is a target for environmental exposures, and a potential determinant of inter-individual differences in response.  In genetically identical C57Bl/6 mice exposed from gestation to weaning to the endocrine disrupting chemical (EDC) tributyltin (TBT), tumor development later in life varied across multiple cohorts over time and depending on sex and diet.  In one cohort where approximately half of TBT-exposed male mice developed tumors at 10 months (Katz, 2020), transcriptomic (RNA-seq) and epigenomic (ChIP-seq) profiling was performed on blood and liver tissue from mice that developed tumors (i.e. “high-risk”) and equivalently exposed mice did not (i.e “low-risk”).  Blood transcriptomic signatures separated TBT-exposed from vehicle controls but did not discriminate between animals that developed tumors vs those that did not.  However, uninvolved liver tissue of mice with tumors exhibited transcriptomic and epigenomic signatures distinct from liver tissue of mice without tumors and had many features in common with tumors.  These high-risk transcriptomic and epigenomic features were also found in 10/26 TBT-exposed mice at 5 months, indicating that this risk signature preceded tumor development.  Thus, while early life exposure to TBT exhibits variable penetrance for tumor development, indicating TBT-exposure is not sufficient for tumorigenesis, increased risk for tumor development is linked to epigenomic and transcriptomic reprogramming of the liver induced by this EDC.",217
"GSE272516","Homo sapiens","Expression profiling by high throughput sequencing","Sequestration of ribosomal subunits as inactive 80S by targeting eIF6 limits mitotic exit and cancer progression","Moderating the pool of active ribosomal subunits is critical for maintaining global translation rates. A crucial factor for modulating the 60S ribosomal subunits is eukaryotic translation initiation factor 6. Release of eIF6 from 60S is essential to permit 60S interactions with 40S. Here, using the N106S mutant of eIF6, we show that disrupting eIF6 interaction with 60S leads to an increase in vacant 80S. It further highlights a dichotomy in the anti-association activity of eIF6 that is distinct from its role in 60S biogenesis and shows that the nucleolar localization of eIF6 is not dependent on uL14-BCCIP interactions. Limiting active ribosomal pools markedly deregulates translation especially in mitosis and leads to chromosome segregation defects, mitotic exit delays and mitotic catastrophe. Ribo-Seq analysis of the eIF6-N106S mutant shows a significant downregulation in the translation efficiencies of mitotic factors and specifically transcripts with long 3′UTRs. eIF6-N106S mutation also limits cancer invasion, and this role is correlated with the overexpression of eIF6 only in high-grade invasive cancers suggesting that deregulation of eIF6 is probably not an early event in cancers. Thus, this study highlights the segregation of eIF6 functions and its role in moderating 80S availability for mitotic translation and cancer progression.",6
"GSE272515","Homo sapiens","Other","Sequestration of ribosomal subunits as inactive 80S by targeting eIF6 limits mitotic exit and cancer progression","Moderating the pool of active ribosomal subunits is critical for maintaining global translation rates. A crucial factor for modulating the 60S ribosomal subunits is eukaryotic translation initiation factor 6. Release of eIF6 from 60S is essential to permit 60S interactions with 40S. Here, using the N106S mutant of eIF6, we show that disrupting eIF6 interaction with 60S leads to an increase in vacant 80S. It further highlights a dichotomy in the anti-association activity of eIF6 that is distinct from its role in 60S biogenesis and shows that the nucleolar localization of eIF6 is not dependent on uL14-BCCIP interactions. Limiting active ribosomal pools markedly deregulates translation especially in mitosis and leads to chromosome segregation defects, mitotic exit delays and mitotic catastrophe. Ribo-Seq analysis of the eIF6-N106S mutant shows a significant downregulation in the translation efficiencies of mitotic factors and specifically transcripts with long 3′UTRs. eIF6-N106S mutation also limits cancer invasion, and this role is correlated with the overexpression of eIF6 only in high-grade invasive cancers suggesting that deregulation of eIF6 is probably not an early event in cancers. Thus, this study highlights the segregation of eIF6 functions and its role in moderating 80S availability for mitotic translation and cancer progression.",5
"GSE268482","Mus musculus","Expression profiling by high throughput sequencing","The Dlk1-Dio3 noncoding RNA cluster coordinately regulates mitochondrial respiration and chromatin structure to establish proper cell state for muscle differentiation","The coordinate regulation of metabolic activity and epigenetics to establish cell state-specific gene expression patterns during lineage progression is among the most important aspects of cell differentiation. Cell states are defined by their epigenetic landscape and have cell state-specific metabolic demands. Defining the regulatory factors involved in the interplay between metabolism and cell state would represent a significant step forward in understanding the genetic circuitry that drives differentiation of progenitor cells into highly specialized cell types for proper tissue formation. Expression levels of the imprinted Dlk1-Dio3 noncoding RNA (ncRNA) mega-cluster have been shown to correlate with distinct metabolic profiles in a variety of progenitor cells, suggesting it functions as a key regulator of metabolism and cell state. Here, we directly demonstrate that the Dlk1-Dio3 ncRNA locus is a central player coordinating mitochondrial metabolic activity and genome-wide epigenetic changes in myoblasts and differentiated myotubes. Stable muscle cell lines were generated harboring two distinct deletions in the proximal promoter region resulting in either greatly upregulated or severely attenuated transcription of the entire mega-cluster of Dlk1-Dio3 ncRNAs. Both mutant lines displayed impaired myotube formation along with perturbed mitochondrial respiration and widespread changes in chromatin accessibility and histone methylation. Global gene expression patterns and pathway analyses indicated a reprogramming of cell state which created a differentiated-like molecular profile in proliferating myoblasts. Our results strongly suggest that the Dlk1-Dio3 ncRNA locus is a nodal regulator coordinating metabolic activity and the epigenome to maintain proper cell state in the myogenic lineage.",18
"GSE249428","Homo sapiens","Expression profiling by high throughput sequencing","The yes-associated protein-1 (YAP1) inhibitor celastrol suppresses the ability of transforming growth factor β to activate human gingival fibroblasts","Background: Fibrosis, defined by the excessive accumulation of extracellular matrix (ECM) proteins, including type I collagen, results in a stiff scar tissue that impairs organ function and can cause death. The effector cells of fibrosis are myofibroblasts, an activated form of fibroblast. In gingiva (gums), fibrotic responses are predominantly hyperproliferative (hyperplasia), where transforming growth factor (TGF)-β is overexpressed, and via canonical signaling pathway acts on gingival fibroblasts to induce fibroproliferative genes such as cellular communications network factor 2 (CCN2). Targeting of TGFβ for therapeutic gain however is challenging due its pleotropic nature, and therefore identifying new and targetable alternatives is warranted. We have shown that mechanical tension as a result of stiff ECM increases TGFβ-driven expression of CCN2 in gingival fibroblasts. We further identified yes-activated protein (YAP1), a mechanosensitive transcription (co)factor that translocate to nucleus in response to mechanical tension in gingival fibroblasts. To test if YAP is the perpetuator of TGFβ-mediated fibroproliferative gene induction, I used celastrol, a recently identified YAP/TAZ (transcriptional co-activator PDZ-binding motif) inhibitor, whose anti-fibrotic potential is not yet elucidated -- projecting it as a potential treatment option for gingival hyperplasia.  Methods: Human gingival fibroblasts (HGFs) in culture were serum starved overnight and pretreated with 500nM Celastrol or DMSO for 45 minutes followed by stimulation with or without TGFβ1 for 6 hours (RT-PCR) and 24 hours (Western blot). mRNA samples collected at 6 hours were also analysed using BulkRNAsequencing and functional cluster analysis. Celastrol’s capacity to prevent the TGFβ induced proliferation of HGFs was investigated with BrdU cell proliferation assay. Celastrol’s ability to block TGFβ-mediated YAP nuclear localization in HGFs was assessed using immunofluorescent staining of YAP protein.  Results: In response to added TGFβ1, the gene and protein expression of fibrotic marker and mediator CCN2 (a known YAP1 target) was significantly downregulated in the presence of Celastrol. Similarly, of the 1364 genes induced by TGFβ1 (>2-fold), 657 genes showed a >50% decrease in the presence of Celastrol including genes involved in fibrotic responses such as type 4 collagen, interleukin 11, etc., Functional cluster analysis revealed ECM, Wnt/cytokine signaling, focal adhesion clusters induced by added TGFβ1, were downregulated in a Celastrol sensitive fashion. Also, basal level proliferation of HGFs was repressed in the presence of Celastrol. Additionally, Celastrol also successfully blocked TGFβ-mediated nuclear translocation of YAP as seen with immunofluorescence microscopy.  Conclusion: These results are consistent with our hypothesis that targeting YAP/TAZ may be useful in blocking the profibrotic effects of TGFβ and that celastrol or other YAP inhibitors are eligible candidates as a treatment option for gingival hyperplasia.",8
"GSE224098","Homo sapiens","Expression profiling by high throughput sequencing","Lactate dehydrogenase B noncanonically promotes ferroptosis defense in KRAS-driven lung cancer","To investigate SLC7A11 inhibition-induced ferroptosis in LDHB-deficient lung cancer cells requires glutaminolysis",12
"GSE221340","Homo sapiens","Expression profiling by high throughput sequencing","Amentoflavone induces cell autophagy through promoting phosphorylation of ULK1 in hepatocellular carcinoma","Purpose: To date, the biological activity of AMF has not been fully investigated. We set out to analyze how AMF regulates gene expression in HepG2 cells. Conclusions: we performed clustering analysis on the various expressed genes associated with autophagy, and the pathways confirmed in the KEGG and BP analysis",4
"GSE221199","Homo sapiens","Expression profiling by high throughput sequencing","Single cell transcriptomic profiling of human CD19+ B cells enriched for CD5+ Innate-like B cells","Aryl hydrocarbon receptor is a ligand-activated transcription factor whose activation can regulate B cell-mediated immune responses. Given the diverse nature of human B cell subsets, scRNA-seq transcriptomic profiling was used to ascertain the heterogeneity of AHR expression in discrete B cell subpopulations. We identified a unique cell cluster enriched in expression of AHR and CD9. Further, these cells were diminished in their expression of canonical B cell-associated genes and enriched with a myeloid cell-specified gene signature. These results were confirmed in vitro as CD14 expressing B cells were readily detectable in human donor PBMC and expressed significantly more AHR protein. Following activation in vitro, CD9+ B cells secreted IgM, IL-10, TGFβ1, and several myeloid-associated pro-inflammatory mediators, specifically CXCL8. These results demonstrate CD14 expression by B cells is readily detectable in healthy human donors and their release of CXCL8 could implicate these cells in inflammatory diseases and autoimmunity.",2
"GSE190403","Homo sapiens","Expression profiling by high throughput sequencing","The tumor associated antigen PRAME exhibits dualistic functions that are targetable in diffuse large B cell lymphoma","PRAME is a prominent member of the cancer germline antigen family of proteins, which triggers autologous T-cell mediated immune responses. Integrative genomic analysis in diffuse large B-cell lymphoma (DLBCL) uncovered recurrent, and highly focal deletions of 22q11.22 including the PRAME gene, which were associated with poor outcome. PRAME-deleted tumors showed cytotoxic T-cell immune escape and were associated with cold tumor microenvironments. In addition, PRAME down-modulation was strongly associated with somatic EZH2 Y641 mutations in DLBCL, and PRC2-regulated genes were repressed in isogenic PRAME KO vs. PRAME wt lymphoma cell lines, with PRAME directly interacting with EZH2 as a negative regulator. EZH2 inhibition with EPZ-6438 abrogated these extrinsic and intrinsic effects leading to PRAME and microenvironment restoration in vivo. Our data highlight multiple functions of PRAME during lymphomagenesis, and provide a preclinical rationale for synergistic therapies combining epigenetic re-programming with PRAME-targeted therapies.",30
"GSE283392","Mus musculus","Genome binding/occupancy profiling by high throughput sequencing; Other","Distinct use of super-enhancer elements controls cell type-specific CD25 transcription and function","The IL-2 receptor α chain (IL-2Rα/CD25) is constitutively expressed on double-negative (DN2/DN3 thymocytes and regulatory T cells (Tregs) but induced by IL-2 on T and natural killer (NK) cells, with Il2ra expression regulated by a STAT5-dependent super-enhancer. We investigated CD25 regulation and function using a series of mice with deletions spanning STAT5-binding elements. Deleting the upstream super-enhancer region mainly affected constitutive CD25 expression on DN2/DN3 thymocytes and Tregs, with these mice developing autoimmune alopecia, whereas deleting an intronic region decreased IL-2-induced CD25 on peripheral T and NK cells. Thus, distinct super-enhancer elements preferentially control constitutive versus inducible expression in a cell type-specific manner. The mediator-1 coactivator colocalized with specific STAT5-binding sites. Moreover, both upstream and intronic regions had extensive chromatin interactions, and deletion of either region altered the super-enhancer structure in mature T cells. These results demonstrate differential functions for distinct super-enhancer elements, thereby indicating previously unknown ways to manipulate CD25 expression in a cell type-specific fashion.",25
"GSE283336","Mus musculus","Expression profiling by high throughput sequencing","Transcriptomic signature associated with education in uterine Natural Killer cells during pregnancy","Uterine natural killer (uNK) cells regulate vascular changes crucial for placental function and fetal growth. The functional capacity of uNK cells is shaped by their education status.  To explore the mechanisms of uNK cell education, we isolated NKG2A+ and Ly49C/I+ educated uNK cells and compared their transcriptomes to uneducated NKG2A-Ly49C/I- uNK cells.",37
"GSE283304","Homo sapiens","Expression profiling by high throughput sequencing","Transcriptional regulation in the absence of inositol trisphosphate receptor signaling","The activation of IP3 receptor (IP3R) Ca2+ channels generates agonist-mediated Ca2+ signals that are critical for the regulation of a   wide range of biological processes. It is therefore surprising that CRISPR induced loss of all three IP3R isoforms (TKO) in HEK293 and HeLa cell lines yields cells that can survive, grow and divide, albeit more slowly than wild-type cells. In an effort to understand the adaptive mechanisms involved, we have examined the activity of key Ca2+ dependent transcription factors (NFAT, CREB and AP-1) and signaling pathways using luciferase-reporter assays, phosphoprotein immunoblots and whole genome transcriptomic studies. In addition, the diacylglycerol arm of the signaling pathway was investigated with protein kinase C (PKC) inhibitors and siRNA knockdown. The data showed that agonist-mediated NFAT activation was lost but CREB activation was maintained in IP3R TKO cells. Under base-line conditions transcriptome analysis indicated the differential expression of 828 and 311 genes in IP3R TKO HEK293 or HeLa cells, respectively, with only 18 genes being in common. Three main adaptations in TKO cells were identified in this study: 1) increased basal activity of NFAT, CREB and AP-1; 2) an increased reliance on Ca2+- insensitive PKC isoforms; and 3) increased production of reactive oxygen species and upregulation of antioxidant defense enzymes. We suggest that whereas wild-type cells rely on a Ca2+ and DAG signal to respond to stimuli, the TKO cells utilize the adaptations to allow key signaling pathways (e.g. PKC, Ras/MAPK, CREB) to transition to the activated state using a DAG signal alone.",12
"GSE263433","Mus musculus","Expression profiling by high throughput sequencing","Histopathology of the tongue in a mouse model of oculopharyngeal muscular dystrophy reveals progressive PABPN1 deposition associated with muscle wasting.","The tongue facilitates vital activities such as swallowing. Swallowing difficulties (dysphagia) are common in the elderly and in many adult-onset neuromuscular diseases. In oculopharyngeal muscular dystrophy (OPMD), dysphagia is often the first symptom. OPMD is an autosomal dominant myopathy caused by a trinucleotide expansion mutation in the gene encoding PABPN1. The expanded PABPN1 forms insoluble nuclear aggregates that reduce the levels of the soluble form. Clinical tongue involvement in OPMD has been documented but is poorly understood. Tongue histopathology was investigated in OPMD mouse models using light and electron microscopy. Muscle histopathology was predominantly affected by age. PABPN1 nuclear aggregates were found at moderate levels, whereas deposition of insoluble PABPN1 in blood vessels was already prominent in 4-month-old mice. RNA signatures of the OPMD tongue were enriched for mitochondrial and cytoskeletal genes, suggesting an energy and contractile deficit.  ",8
"GSE190403","Homo sapiens","Expression profiling by high throughput sequencing","The tumor associated antigen PRAME exhibits dualistic functions that are targetable in diffuse large B cell lymphoma","PRAME is a prominent member of the cancer germline antigen family of proteins, which triggers autologous T-cell mediated immune responses. Integrative genomic analysis in diffuse large B-cell lymphoma (DLBCL) uncovered recurrent, and highly focal deletions of 22q11.22 including the PRAME gene, which were associated with poor outcome. PRAME-deleted tumors showed cytotoxic T-cell immune escape and were associated with cold tumor microenvironments. In addition, PRAME down-modulation was strongly associated with somatic EZH2 Y641 mutations in DLBCL, and PRC2-regulated genes were repressed in isogenic PRAME KO vs. PRAME wt lymphoma cell lines, with PRAME directly interacting with EZH2 as a negative regulator. EZH2 inhibition with EPZ-6438 abrogated these extrinsic and intrinsic effects leading to PRAME and microenvironment restoration in vivo. Our data highlight multiple functions of PRAME during lymphomagenesis, and provide a preclinical rationale for synergistic therapies combining epigenetic re-programming with PRAME-targeted therapies.",30
"GSE283395","Mus musculus","Expression profiling by high throughput sequencing","CRIPSR screen identified CLEC16A suppresses astrocyte inflammasome-involved pathology via mitophagy (Single Cell Dataset)","Astrocytes promote neuroinflammation and neurodegeneration in multiple sclerosis (MS) through cell-intrinsic activities, and also via their ability to recruit and activate other cell types. Here, we report the results of a genome-wide CRISPR-based forward genetic screen investigating regulators of astrocyte proinflammatory responses, which identified CLEC16A, a gene linked to MS susceptibility, as a suppressor of NF-B signaling. Gene and small molecule perturbation studies in mouse primary and human embryonic stem cell-derived astrocytes in combination with multi-omic analyses established that CLEC16A promotes mitophagy, limiting mitochondrial dysfunction and the accumulation of mitochondrial products that activate NF-κB, the NLRP3 inflammasome and gasdermin D. Astrocytespecific Clec16a inactivation increased NF-κB, NLRP3 and gasdermin D activation in vivo, worsening experimental autoimmune encephalomyelitis, a mouse model of MS. Moreover, we detected disrupted mitophagic capacity and gasdermin D activation in astrocytes in samples from individuals with MS. These findings identify CLEC16A as a suppressor of astrocyte pathologic responses and a candidate therapeutic target in MS.",4
"GSE283393","Mus musculus","Expression profiling by high throughput sequencing","Multinucleated giant cells are hallmarks of ovarian aging with unique immune and degradation-associated molecular signatures","The ovary is one of the first organs to exhibit signs of aging, characterized by reduced tissue function, chronic inflammation, and fibrosis. Multinucleated giant cells (MNGCs), formed by macrophage fusion, typically occur in chronic immune pathologies, including infectious and non-infectious granulomas and the foreign body response, but are also observed in the aging ovary. The function and consequence of ovarian MNGCs remain unknown as their biological activity is highly context-dependent, and their large size has limited their isolation and analysis through technologies such as single-cell RNA sequencing. In this study, we define ovarian MNGCs through a deep analysis of their presence across age and species using advanced imaging technologies as well as their unique transcriptome using laser capture microdissection. MNGCs form complex interconnected networks that increase with age in both mouse and nonhuman primate ovaries. MNGCs are characterized by high Gpnmb expression, a putative marker of ovarian and non-ovarian MNGCs. Pathway analysis highlighted functions in apoptotic cell clearance, lipid metabolism, proteolysis, immune processes, and increased oxidative phosphorylation and antioxidant activity. Thus, MNGCs have signatures related to degradative processes, immune function, and high metabolic activity. These processes were enriched in MNGCs compared to primary ovarian macrophages, suggesting discrete functionality. MNGCs express CD4 and colocalize with T-cells, which were enriched in regions of MNGCs, indicative of a close interaction between these immune cell types. These findings implicate MNGCs in modulation of the ovarian immune landscape during aging given their high penetrance and unique molecular signature that supports degradative and immune functions.",12
"GSE282479","Homo sapiens","Expression profiling by high throughput sequencing","Transcriptomic analysis of keloid fibroblasts demonstrates reduced expression of vitamin D binding partner Retinoid-X receptor α: Implications for clinical treatment","Keloids are benign fibroproliferative tumours resulting from skin damage such as trauma, burns or surgery. Keloids are more prevalent in populations with darkly pigmented skin. Links between skin pigmentation and vitamin D production have been established and some studies indicate involvement of vitamin D signalling in keloid pathology. This study assessed the impact of paricalcitol (a selective vitamin D signalling activator) on fibroblasts derived from keloid and normal skin, to further investigate the role and potential clinical relevance of vitamin D signalling in keloid pathology. Analysis of keloid and normal skin tissue using immunohistochemistry demonstrated a significant reduction of nuclear vitamin D receptor (VDR) in keloid tissue. After treatment with paricalcitol, nuclear VDR was increased in both keloid and normal fibroblasts. RNA sequencing of normal fibroblasts treated with paricalcitol demonstrated significant changes in gene expression, with many upregulated genes identified to have anti-fibrotic effects. However, paricalcitol failed to alter gene expression in Keloid fibroblasts. To investigate this further, we performed RNA sequencing of normal and keloid fibroblasts and found that retinoid-X receptor α (RXRα), a key binding partner of VDR required for downstream transcriptional activation, is significantly downregulated in keloid fibroblasts. Our results indicate that paricalcitol can effectively activate VDR translocation to the nucleus but is unable to effect change at the transcriptional level in keloid fibroblasts, most likely due to the reduced expression of RXRα. This suggests Vitamin D signalling may be aberrant in keloids, and that supplementation with Vitamin D alone would likely be ineffective in restoring signalling. Keywords: Keloid, Vitamin D receptor, Paricalcitol, Retinoid-X receptor α",14
"GSE276089","Mus musculus","Expression profiling by high throughput sequencing","Analysis of heterogeneity within genetic murine models of HCC","Hepatocellular carcinoma (HCC), the most common form of primary liver cancer, is a leading cause of cancer related mortality worldwide1,2. HCC occurs typically from a background of chronic liver disease, caused by a spectrum of predisposing conditions. Tumour development is driven by the expansion of clones that accumulated progressive driver mutations3, with hepatocytes the most likely cell of origin2. However, the landscape of driver mutations in HCC is independent of the underlying aetiologies4.  Despite an increasing range of systemic treatment options for advanced HCC outcomes remain heterogeneous and typically poor. Emerging data suggest that drug efficacies depend on disease aetiology and genetic alterations5,6. Exploring subtypes in preclinical models with human relevance will therefore be essential to advance precision medicine in HCC7. We generated over twenty-five new genetically-driven in vivo and in vitro HCC models. Our models represent multiple features of human HCC, including clonal origin, histopathological appearance, and metastasis to distant organs. We integrated transcriptomic data from the mouse models with human HCC data and identified four common human-mouse subtype clusters. The subtype clusters had distinct transcriptomic characteristics that aligned with histopathology.  In a proof-of-principle analysis, we verified response to standard of care treatment and used a linked in vitro-in vivo pipeline to identify a promising therapeutic candidate, cladribine, that has not been linked to HCC treatment before. Cladribine acts in a highly effective subtype-specific manner in combination with standard of care therapy.",19
"GSE283113","Homo sapiens","Genome binding/occupancy profiling by high throughput sequencing","Functional Variant Discovery Identifies SPRY2 as a Genetic Mechanism Linking Wood Smoke with Asthma","Climate change is impacting human health through a historic rise in wildfire smoke across the United States and the world. Whereas the deleterious effects of wildfire smoke and associated air pollution on asthma outcomes are well-established epidemiologically, genetic risks and molecular mechanisms of how wildfire smoke affects asthma are unknown. This knowledge gap hinders the identification of high-risk individuals and the creation of targeted therapies or recommendations to protect these individuals. Here, we employ a genetic approach to identify common variant (minor allele frequency > 0.05) exposure-conditional genetic risk variants that localize with genomic responses to wood smoke particles (WSP), a model of wildfire smoke exposure, and associate with asthma in the Genetic Epidemiology Research on Aging (GERA) cohort. Our novel approach used nascent transcriptional signatures derived from WSP-exposed Beas-2B airway epithelial cells to reduce the genome sequence for discovery and allow a permutation-based statistical approach to identify 52 candidate SNPs. We applied biologic and bioinformatic filters to prioritize variants for direct testing of allele-dependent transcriptional regulatory function in plasmid reporters. The rs3861144 variant identified by this approach controls WSP responses of airway epithelial cells to SPRY2, which we showed is involved in mechanical injury repair in cell culture. Our results demonstrate that wildfire particulates contribute to asthma risk at the molecular level, and we have identified mechanistic targets and genetic variant candidates to apply for clinical risk prediction and development of targeted therapies for high-risk individuals.",8
"GSE283091","Homo sapiens","Expression profiling by high throughput sequencing","O-GlcNAcylation attenuates ischemia-reperfusion–induced pulmonary epithelial cell ferroptosis via the Nrf2/G6PDH pathway","Lung ischemia-reperfusion (I/R) injury is a common clinical pathology associated with high mortality. The pathophysiology of lung I/R injury involves ferroptosis and elevated protein O-GlcNAcylation levels, while the effect of O-GlcNAcylation on lung I/R injury remains unclear. This research aimed to explore the effect of O-GlcNAcylation on reducing ferroptosis in pulmonary epithelial cells caused by I/R.  First, we identified O-GlcNAc transferase 1 (Ogt1) as a differentially expressed gene in lung epithelial cells of acute lung injury/acute respiratory distress syndrome (ALI/ARDS) patients, using single-cell sequencing, and Gene Ontology analysis (GO analysis) revealed the enrichment of the ferroptosis process. We found a time-dependent dynamic alteration in lung O-GlcNAcylation during I/R injury. Proteomics analysis identified the differentially expressed proteins enriched in ferroptosis and multiple redox-related pathways based on KEGG annotation. Thus, we generated Ogt1-conditional knockout mice and found that Ogt1 deficiency aggravated ferroptosis, as evidenced by lipid reactive oxygen species (lipid ROS), malondialdehyde (MDA), Fe2+, as well as alterations in critical protein expression glutathione peroxidase 4 (GPX4) and solute carrier family 7 member 11 (SLC7A11). Consistently, we found that elevated O-GlcNAcylation inhibited ferroptosis sensitivity in hypoxia/reoxygenation (H/R) injury-induced TC-1 cells via O-GlcNAcylated NF-E2-related factor-2 (Nrf2). Furthermore, both the chromatin immunoprecipitation (ChIP) assay and the dual-luciferase reporter assay indicated that Nrf2 could bind with translation start site (TSS) of glucose-6-phosphate dehydrogenase (G6PDH) and promote its transcriptional activity. As an important rate-limiting enzyme in the pentose phosphate pathway (PPP), elevated G6PDH provided a mass of nicotinamide adenine dinucleotide phosphate (NADPH) to improve the redox state of glutathione (GSH) and eventually led to ferroptosis resistance. Rescue experiments proved that Nrf2 knockdown or Nrf2-T334A (O-GlcNAcylation site) mutation abolished the protective effect of ferroptosis resistance.  In summary, we revealed that O-GlcNAcylation could protect against I/R lung injury by reducing ferroptosis sensitivity via the Nrf2/G6PDH pathway. Our work will provide a new basis for clinical therapeutic strategies for pulmonary ischemia-reperfusion-induced acute lung injury.",2
"GSE282880","Homo sapiens","Expression profiling by RT-PCR","Human visceral adipose tissue RT-PCR in individuals with obesity","Visceral adiposity is more related with insulin resistance than BMI itself. To study the molecular signature of the subsequent evolution steps of the metabolic sequalae of obesity we collected omental adipose tissue samples from individuals with obesity while undergoing bariatric surgery. Participants (all with obesity) were divided in 4 groups according to glycemic profile: Insulin sensitive/normoglycemic group (IS NG) - OxHOMA2<1 and fasting glycemia < 100 mg/dL (n=17); Insulin resistant/normoglycemic group (IR NG) - OxHOMA2 > 1 and fasting glycemia < 100 mg/dL and HbA1c < 5.7% (n=24); Pre diabetes group (PD) - OxHOMA2 > 1 and fasting glycemia > 100 mg/dL or HbA1c [5.7% - 6.4%] (n=33); Type 2 diabetes group (T2D) - OxHOMA2 > 1 and fasting glycemia > 125 mg/dL or HbA1c > 6.4% (n=18). A panel of 43 genes related to inflammation, angiogenesis, lipid metabolism and redox machinery was evaluated in a BioMark HD Fluidigm system.",92
